subjNum,type,force,response_aligned
29,baseline,accompany,1.0
29,baseline,bother,0.0
29,baseline,capture,1.0
29,baseline,encircle,1.0
29,baseline,fight,1.0
29,baseline,hit,1.0
29,baseline,leave,1.0
29,baseline,scratch,0.0
29,generated,accompany,0.5
29,generated,bother,0.0
29,generated,capture,0.25
29,generated,encircle,1.0
29,generated,fight,0.875
29,generated,hit,1.0
29,generated,leave,1.0
29,generated,scratch,0.125
30,baseline,accompany,1.0
30,baseline,bother,0.0
30,baseline,capture,1.0
30,baseline,encircle,1.0
30,baseline,fight,0.0
30,baseline,hit,0.0
30,baseline,leave,1.0
30,baseline,scratch,1.0
30,generated,accompany,0.875
30,generated,bother,0.0
30,generated,capture,0.875
30,generated,encircle,1.0
30,generated,fight,0.5
30,generated,hit,1.0
30,generated,leave,1.0
30,generated,scratch,0.75
31,baseline,accompany,0.0
31,baseline,bother,1.0
31,baseline,capture,0.0
31,baseline,encircle,1.0
31,baseline,fight,1.0
31,baseline,hit,1.0
31,baseline,leave,1.0
31,baseline,scratch,0.0
31,generated,accompany,1.0
31,generated,bother,0.0
31,generated,capture,0.5
31,generated,encircle,1.0
31,generated,fight,0.875
31,generated,hit,0.75
31,generated,leave,0.375
31,generated,scratch,0.0
32,baseline,accompany,0.0
32,baseline,bother,0.0
32,baseline,capture,0.0
32,baseline,encircle,1.0
32,baseline,fight,1.0
32,baseline,hit,1.0
32,baseline,leave,1.0
32,baseline,scratch,0.0
32,generated,accompany,0.875
32,generated,bother,1.0
32,generated,capture,0.875
32,generated,encircle,1.0
32,generated,fight,1.0
32,generated,hit,1.0
32,generated,leave,1.0
32,generated,scratch,0.875
33,baseline,accompany,1.0
33,baseline,bother,0.0
33,baseline,capture,1.0
33,baseline,encircle,1.0
33,baseline,fight,0.0
33,baseline,hit,1.0
33,baseline,leave,1.0
33,baseline,scratch,0.0
33,generated,accompany,1.0
33,generated,bother,0.375
33,generated,capture,0.875
33,generated,encircle,1.0
33,generated,fight,0.625
33,generated,hit,0.875
33,generated,leave,0.5
33,generated,scratch,0.25
35,baseline,accompany,0.0
35,baseline,bother,0.0
35,baseline,capture,0.0
35,baseline,encircle,1.0
35,baseline,fight,1.0
35,baseline,hit,1.0
35,baseline,leave,1.0
35,baseline,scratch,1.0
35,generated,accompany,0.125
35,generated,bother,1.0
35,generated,capture,0.75
35,generated,encircle,1.0
35,generated,fight,0.75
35,generated,hit,1.0
35,generated,leave,0.75
35,generated,scratch,0.0
36,baseline,accompany,1.0
36,baseline,bother,1.0
36,baseline,capture,1.0
36,baseline,encircle,1.0
36,baseline,fight,1.0
36,baseline,hit,0.0
36,baseline,leave,1.0
36,baseline,scratch,1.0
36,generated,accompany,0.875
36,generated,bother,1.0
36,generated,capture,1.0
36,generated,encircle,1.0
36,generated,fight,0.625
36,generated,hit,1.0
36,generated,leave,1.0
36,generated,scratch,0.625
37,baseline,accompany,0.0
37,baseline,bother,0.0
37,baseline,capture,0.0
37,baseline,encircle,1.0
37,baseline,fight,1.0
37,baseline,hit,0.0
37,baseline,leave,1.0
37,baseline,scratch,0.0
37,generated,accompany,0.0
37,generated,bother,1.0
37,generated,capture,0.0
37,generated,encircle,1.0
37,generated,fight,1.0
37,generated,hit,0.0
37,generated,leave,1.0
37,generated,scratch,0.75
38,baseline,accompany,0.0
38,baseline,bother,0.0
38,baseline,capture,1.0
38,baseline,encircle,1.0
38,baseline,fight,1.0
38,baseline,hit,0.0
38,baseline,leave,1.0
38,baseline,scratch,0.0
38,generated,accompany,0.0
38,generated,bother,1.0
38,generated,capture,1.0
38,generated,encircle,1.0
38,generated,fight,0.875
38,generated,hit,0.5
38,generated,leave,1.0
38,generated,scratch,0.875
39,baseline,accompany,1.0
39,baseline,bother,0.0
39,baseline,capture,0.0
39,baseline,encircle,1.0
39,baseline,fight,0.0
39,baseline,hit,1.0
39,baseline,leave,1.0
39,baseline,scratch,0.0
39,generated,accompany,0.875
39,generated,bother,0.875
39,generated,capture,1.0
39,generated,encircle,1.0
39,generated,fight,0.125
39,generated,hit,0.375
39,generated,leave,1.0
39,generated,scratch,1.0
41,baseline,accompany,1.0
41,baseline,bother,0.0
41,baseline,capture,0.0
41,baseline,encircle,1.0
41,baseline,fight,0.0
41,baseline,hit,0.0
41,baseline,leave,1.0
41,baseline,scratch,0.0
41,generated,accompany,0.875
41,generated,bother,0.0
41,generated,capture,0.0
41,generated,encircle,1.0
41,generated,fight,0.5
41,generated,hit,1.0
41,generated,leave,0.875
41,generated,scratch,0.0
42,baseline,accompany,1.0
42,baseline,bother,0.0
42,baseline,capture,1.0
42,baseline,encircle,1.0
42,baseline,fight,0.0
42,baseline,hit,0.0
42,baseline,leave,1.0
42,baseline,scratch,0.0
42,generated,accompany,0.25
42,generated,bother,0.125
42,generated,capture,0.125
42,generated,encircle,1.0
42,generated,fight,0.125
42,generated,hit,0.25
42,generated,leave,0.25
42,generated,scratch,0.25
46,baseline,accompany,1.0
46,baseline,bother,0.0
46,baseline,capture,0.0
46,baseline,encircle,1.0
46,baseline,fight,1.0
46,baseline,hit,0.0
46,baseline,leave,1.0
46,baseline,scratch,0.0
46,generated,accompany,0.625
46,generated,bother,0.375
46,generated,capture,0.5
46,generated,encircle,1.0
46,generated,fight,0.625
46,generated,hit,0.0
46,generated,leave,1.0
46,generated,scratch,0.125
47,baseline,accompany,1.0
47,baseline,bother,0.0
47,baseline,capture,1.0
47,baseline,encircle,1.0
47,baseline,fight,1.0
47,baseline,hit,1.0
47,baseline,leave,1.0
47,baseline,scratch,0.0
47,generated,accompany,0.0
47,generated,bother,0.875
47,generated,capture,0.0
47,generated,encircle,1.0
47,generated,fight,0.5
47,generated,hit,1.0
47,generated,leave,1.0
47,generated,scratch,0.0
48,baseline,accompany,0.0
48,baseline,bother,0.0
48,baseline,capture,1.0
48,baseline,encircle,1.0
48,baseline,fight,0.0
48,baseline,hit,1.0
48,baseline,leave,1.0
48,baseline,scratch,0.0
48,generated,accompany,0.25
48,generated,bother,0.25
48,generated,capture,0.875
48,generated,encircle,1.0
48,generated,fight,0.125
48,generated,hit,1.0
48,generated,leave,1.0
48,generated,scratch,0.0
49,baseline,accompany,0.0
49,baseline,bother,0.0
49,baseline,capture,1.0
49,baseline,encircle,1.0
49,baseline,fight,0.0
49,baseline,hit,1.0
49,baseline,leave,1.0
49,baseline,scratch,0.0
49,generated,accompany,0.875
49,generated,bother,0.25
49,generated,capture,0.875
49,generated,encircle,1.0
49,generated,fight,0.25
49,generated,hit,0.875
49,generated,leave,0.875
49,generated,scratch,0.125
50,baseline,accompany,1.0
50,baseline,bother,0.0
50,baseline,capture,0.0
50,baseline,encircle,1.0
50,baseline,fight,0.0
50,baseline,hit,1.0
50,baseline,leave,1.0
50,baseline,scratch,1.0
50,generated,accompany,0.125
50,generated,bother,0.125
50,generated,capture,0.625
50,generated,encircle,1.0
50,generated,fight,0.375
50,generated,hit,0.25
50,generated,leave,1.0
50,generated,scratch,1.0
51,baseline,accompany,0.0
51,baseline,bother,0.0
51,baseline,capture,0.0
51,baseline,encircle,1.0
