subjNum;subjStartDate;subjStartTime;trialIndex;exptId;choicePos;vidPlayCounts;rt;exptVer;options;choice
2291;2025-11-30;18:40:36;10;20;right;"{""vid1"":11,""vid2"":11,""vid3"":11}";237.743;31;['5902_hit', '5876_creep up on', '6300_accompany'];6300_accompany
2291;2025-11-30;18:40:36;11;40;right;"{""vid1"":12,""vid2"":12,""vid3"":12}";254.416;31;['5096_approach', '5528_hug', '5902_hit'];5902_hit
2291;2025-11-30;18:40:36;12;27;middle;"{""vid1"":13,""vid2"":13,""vid3"":13}";275.999;31;['5905_encircle', '4861_throw', '5849_approach'];4861_throw
2291;2025-11-30;18:40:36;13;32;right;"{""vid1"":28,""vid2"":28,""vid3"":14}";295.093;31;['4788_capture', '5849_approach', '5986_fight'];5986_fight
2291;2025-11-30;18:40:36;14;25;middle;"{""vid1"":15,""vid2"":15,""vid3"":15}";311.465;31;['5866_follow', '5948_flirt with', '5878_follow'];5948_flirt with
2291;2025-11-30;18:40:36;15;15;left;"{""vid1"":16,""vid2"":16,""vid3"":16}";326.681;31;['1121_scratch', '5809_pull', '6079_bother'];1121_scratch
2291;2025-11-30;18:40:36;16;13;middle;"{""vid1"":17,""vid2"":17,""vid3"":17}";344.032;31;['5901_huddle with', '6035_capture', '5870_poke'];6035_capture
2291;2025-11-30;18:40:36;17;31;right;"{""vid1"":18,""vid2"":18,""vid3"":18}";366.061;31;['5876_creep up on', '6016_scratch', '6300_accompany'];6300_accompany
2291;2025-11-30;18:40:36;18;10;left;"{""vid1"":19,""vid2"":19,""vid3"":19}";388.627;31;['4793_avoid', '1012_push', '5568_push'];4793_avoid
2291;2025-11-30;18:40:36;19;41;right;"{""vid1"":20,""vid2"":20,""vid3"":20}";494.66;31;['4408_lead', '4806_flirt with', '6172_hit'];6172_hit
2291;2025-11-30;18:40:36;20;38;right;"{""vid1"":21,""vid2"":21,""vid3"":21}";511.828;31;['4397_hug', '1121_scratch', '4408_lead'];4408_lead
2291;2025-11-30;18:40:36;21;44;middle;"{""vid1"":22,""vid2"":22,""vid3"":22}";531.996;31;['5568_push', '5849_approach', '4789_bother'];5849_approach
2291;2025-11-30;18:40:36;22;16;middle;"{""vid1"":23,""vid2"":23,""vid3"":23}";550.581;31;['5809_pull', '6013_talk to', '6035_capture'];6013_talk to
2291;2025-11-30;18:40:36;23;0;right;"{""vid1"":24,""vid2"":24,""vid3"":24}";571.246;31;['4789_bother', '6035_capture', '5849_approach'];5849_approach
2291;2025-11-30;18:40:36;24;11;left;"{""vid1"":25,""vid2"":25,""vid3"":25}";600.628;31;['4806_flirt with', '6004_herd', '6300_accompany'];4806_flirt with
2291;2025-11-30;18:40:36;25;22;right;"{""vid1"":26,""vid2"":26,""vid3"":26}";622.858;31;['6026_fight', '5876_creep up on', '6016_scratch'];6016_scratch
2291;2025-11-30;18:40:36;26;17;right;"{""vid1"":27,""vid2"":27,""vid3"":27}";648.759;31;['6079_bother', '1167_kiss', '4793_avoid'];4793_avoid
2291;2025-11-30;18:40:36;27;37;right;"{""vid1"":28,""vid2"":28,""vid3"":28}";675.517;31;['1051_herd', '5790_escape', '6079_bother'];6079_bother
2291;2025-11-30;18:40:36;28;30;right;"{""vid1"":29,""vid2"":29,""vid3"":29}";688.599;31;['5914_tickle', '1121_scratch', '5875_escape'];5875_escape
2291;2025-11-30;18:40:36;29;5;right;"{""vid1"":30,""vid2"":30,""vid3"":30}";701.791;31;['4788_capture', '6017_encircle', '1145_leave'];1145_leave
2291;2025-11-30;18:40:36;30;19;middle;"{""vid1"":31,""vid2"":62,""vid3"":31}";726.31;31;['4788_capture', '5787_accompany', '5991_examine'];5787_accompany
2291;2025-11-30;18:40:36;31;14;left;"{""vid1"":64,""vid2"":64,""vid3"":64}";768.145;31;['6300_accompany', '4397_hug', '5870_poke'];6300_accompany
2291;2025-11-30;18:40:36;32;24;middle;"{""vid1"":33,""vid2"":33,""vid3"":33}";789.678;31;['6004_herd', '4793_avoid', '4788_capture'];4793_avoid
2291;2025-11-30;18:40:36;33;23;right;"{""vid1"":34,""vid2"":34,""vid3"":34}";804.312;31;['5870_poke', '6016_scratch', '4861_throw'];4861_throw
2291;2025-11-30;18:40:36;34;1;right;"{""vid1"":35,""vid2"":35,""vid3"":35}";820.2;31;['1167_kiss', '5948_flirt with', '6239_pull'];6239_pull
2291;2025-11-30;18:40:36;35;28;middle;"{""vid1"":36,""vid2"":36,""vid3"":36}";838.535;31;['1051_herd', '5875_escape', '6035_capture'];5875_escape
2291;2025-11-30;18:40:36;36;39;left;"{""vid1"":74,""vid2"":37,""vid3"":37}";862.951;31;['5849_approach', '1121_scratch', '4789_bother'];5849_approach
2291;2025-11-30;18:40:36;37;36;left;"{""vid1"":76,""vid2"":38,""vid3"":38}";890.181;31;['1167_kiss', '5914_tickle', '5790_escape'];1167_kiss
2291;2025-11-30;18:40:36;38;3;right;"{""vid1"":39,""vid2"":39,""vid3"":39}";909.67;31;['4926_lead', '1012_push', '5948_flirt with'];5948_flirt with
2291;2025-11-30;18:40:36;39;7;right;"{""vid1"":80,""vid2"":40,""vid3"":40}";928.934;31;['5875_escape', '6016_scratch', '5471_ignore'];5471_ignore
