subjNum,subjStartDate,subjStartTime,trialIndex,exptId,label,labelIndex,rt,vidPlayCounts
1006,2025-09-30,22:54:04,38,5166_avoid,Play with,9,33.963,1
1006,2025-09-30,22:54:04,39,5184_scratch,Capture,20,9.268,1
1006,2025-09-30,22:54:04,40,5202_ignore,Escape,21,8.933,1
1006,2025-09-30,22:54:04,41,5207_chase,Herd,1,19.133,1
1006,2025-09-30,22:54:04,42,1118_bother,Poke,26,26.833,1
1006,2025-09-30,22:54:04,43,5249_flirt with,Ignore,10,51.516,1
1006,2025-09-30,22:54:04,44,5316_encircle,Encircle,24,39.601,2
1006,2025-09-30,22:54:04,45,5360_play with,Play with,9,42.549,2
1006,2025-09-30,22:54:04,46,5361_capture,Huddle with,29,9.868,1
1006,2025-09-30,22:54:04,47,5364_escape,Escape,21,5.233,1
1006,2025-09-30,22:54:04,48,5369_kiss,Approach,7,6.95,1
1006,2025-09-30,22:54:04,49,5382_herd,Approach,7,9.465,1
1006,2025-09-30,22:54:04,50,5386_lead,Lead,25,10.117,1
1006,2025-09-30,22:54:04,51,5399_talk to,Bother,8,81.799,2
1006,2025-09-30,22:54:04,52,5400_throw,Creep up on,13,76.951,1
1006,2025-09-30,22:54:04,53,5453_play with,Flirt with,16,4.882,1
1006,2025-09-30,22:54:04,54,5477_tickle,Kiss,11,10.383,1
1006,2025-09-30,22:54:04,55,5488_encircle,Encircle,24,19.567,1
1006,2025-09-30,22:54:04,56,5489_hug,Mimic,14,16.133,1
1006,2025-09-30,22:54:04,57,1408_ignore,Lead,25,29.449,5
1006,2025-09-30,22:54:04,58,1421_lead,Lead,25,16.65,1
1006,2025-09-30,22:54:04,59,5529_escape,Escape,21,8.667,2
1006,2025-09-30,22:54:04,60,5539_follow,Bother,8,16.783,1
1006,2025-09-30,22:54:04,61,5584_chase,Play with,9,11.217,1
1006,2025-09-30,22:54:04,62,5587_hit,Hit,0,9.367,1
1006,2025-09-30,22:54:04,63,5588_argue with,Argue with,4,19.567,1
1006,2025-09-30,22:54:04,64,910_argue with,Fight,3,15.999,1
1006,2025-09-30,22:54:04,65,5608_escape,Creep up on,13,39.851,2
1006,2025-09-30,22:54:04,66,5613_capture,Poke,26,15.4,2
1006,2025-09-30,22:54:04,67,5685_block,Play with,9,29.966,1
1010,2025-09-30,23:22:35,0,5792_chase,Avoid,27,41.087,2
1010,2025-09-30,23:22:35,1,5813_argue with,Play with,17,13.766,1
1010,2025-09-30,23:22:35,2,5815_capture,Hug,6,8.373,2
1010,2025-09-30,23:22:35,3,5891_capture,Kiss,28,7.376,2
1010,2025-09-30,23:22:35,4,5898_bother,Bother,22,13.87,1
1010,2025-09-30,23:22:35,5,5926_follow,Avoid,27,29.109,2
1010,2025-09-30,23:22:35,6,5932_lead,Avoid,27,16.527,1
1010,2025-09-30,23:22:35,7,5936_escape,Escape,20,15.405,2
1010,2025-09-30,23:22:35,8,5942_argue with,Examine,25,5.357,1
1010,2025-09-30,23:22:35,9,5991_examine,Examine,25,8.733,1
1010,2025-09-30,23:22:35,10,6018_encircle,Encircle,10,6.815,1
1010,2025-09-30,23:22:35,11,6046_chase,Play with,17,37.15,2
1010,2025-09-30,23:22:35,12,6047_talk to,Flirt with,30,21.396,2
1010,2025-09-30,23:22:35,13,6092_mimic,Hug,6,11.058,1
1010,2025-09-30,23:22:35,14,2036_capture,Herd,1,29.352,2
1010,2025-09-30,23:22:35,15,6144_fight,Hit,19,7.227,1
1010,2025-09-30,23:22:35,16,6152_hit,Push,18,23.711,7
1010,2025-09-30,23:22:35,17,6233_bother,Play with,17,38.507,4
1010,2025-09-30,23:22:35,18,6240_bother,Bother,22,20.506,2
1010,2025-09-30,23:22:35,19,6296_examine,Talk to,13,8.87,1
1010,2025-09-30,23:22:35,20,6297_escape,Leave,16,17.869,2
1010,2025-09-30,23:22:35,21,2271_push,Herd,1,25.651,1
1010,2025-09-30,23:22:35,22,2296_leave,Leave,16,8.976,1
1010,2025-09-30,23:22:35,23,4403_push,Hit,19,6.797,1
1010,2025-09-30,23:22:35,24,4494_hit,Hit,19,21.142,3
1010,2025-09-30,23:22:35,25,4573_accompany,Follow,3,19.689,2
1010,2025-09-30,23:22:35,26,6776_encircle,Encircle,10,7.122,1
1010,2025-09-30,23:22:35,27,4865_leave,Leave,16,13.686,2
1010,2025-09-30,23:22:35,28,4890_ignore,Talk to,13,20.066,2
1010,2025-09-30,23:22:35,29,4910_argue with,Talk to,13,12.785,1
1010,2025-09-30,23:22:35,30,4930_talk to,Flirt with,30,23.693,2
1010,2025-09-30,23:22:35,31,4942_throw,Kiss,28,21.498,2
1010,2025-09-30,23:22:35,32,858_hug,Kiss,28,93.26,3
1010,2025-09-30,23:22:35,33,865_block,Herd,1,39.741,2
1010,2025-09-30,23:22:35,34,4983_hit,Hit,19,7.341,2
1010,2025-09-30,23:22:35,35,5002_follow,Lead,15,12.903,1
1010,2025-09-30,23:22:35,36,5028_flirt with,Encircle,10,15.803,2
1010,2025-09-30,23:22:35,37,5033_huddle with,Talk to,13,19.327,3
1010,2025-09-30,23:22:35,38,5072_poke,Kiss,28,4.715,1
1010,2025-09-30,23:22:35,39,5147_avoid,Leave,16,3.739,1
1010,2025-09-30,23:22:35,40,5151_poke,Poke,24,9.116,2
1010,2025-09-30,23:22:35,41,1058_ignore,Hit,19,73.903,2
1010,2025-09-30,23:22:35,42,1074_huddle with,Kiss,28,9.26,1
1010,2025-09-30,23:22:35,43,5195_tickle,Approach,4,7.833,2
1010,2025-09-30,23:22:35,44,5252_tickle,Hit,19,8.402,1
1010,2025-09-30,23:22:35,45,5297_pull,Follow,3,5.295,1
1010,2025-09-30,23:22:35,46,5306_push,Chase,23,10.491,1
1010,2025-09-30,23:22:35,47,5353_herd,Talk to,13,12.125,2
1010,2025-09-30,23:22:35,48,5380_creep up on,Scratch,7,37.582,4
1010,2025-09-30,23:22:35,49,5381_chase,Argue with,21,11.542,2
1010,2025-09-30,23:22:35,50,5385_play with,Argue with,21,8.623,1
1010,2025-09-30,23:22:35,51,5389_argue with,Argue with,21,5.881,1
1010,2025-09-30,23:22:35,52,5396_approach,Approach,4,7.345,1
1010,2025-09-30,23:22:35,53,5405_lead,Lead,15,11.522,1
1010,2025-09-30,23:22:35,54,5433_block,Chase,23,18.485,1
1010,2025-09-30,23:22:35,55,5459_capture,Kiss,28,11.967,1
1010,2025-09-30,23:22:35,56,5463_scratch,Hit,19,7.505,1
1010,2025-09-30,23:22:35,57,5473_chase,Approach,4,8.974,1
1010,2025-09-30,23:22:35,58,5541_mimic,Mimic,0,13.853,1
1010,2025-09-30,23:22:35,59,5569_flirt with,Talk to,13,16.664,1
1010,2025-09-30,23:22:35,60,5619_kiss,Kiss,28,6.937,1
1010,2025-09-30,23:22:35,61,5621_throw,Ignore,12,25.419,2
1010,2025-09-30,23:22:35,62,5639_tickle,Kiss,28,26.264,1
1010,2025-09-30,23:22:35,63,5648_huddle with,Kiss,28,23.32,2
1010,2025-09-30,23:22:35,64,5652_approach,Ignore,12,11.05,1
1010,2025-09-30,23:22:35,65,5666_hit,Escape,20,9.505,1
1010,2025-09-30,23:22:35,66,5690_talk to,Creep up on,14,8.007,1
1010,2025-09-30,23:22:35,67,5725_huddle with,Bother,22,19.862,1
1008,2025-09-30,23:02:23,0,5800_follow,Escape,13,19.985,1
1008,2025-09-30,23:02:23,1,5812_hit,Bother,21,34.864,2
1008,2025-09-30,23:02:23,2,5407_kiss,Flirt with,3,15.911,2
1008,2025-09-30,23:02:23,3,5843_huddle with,Avoid,11,11.185,1
1008,2025-09-30,23:02:23,4,5875_escape,Accompany,2,14.106,1
1008,2025-09-30,23:02:23,5,5883_encircle,Huddle with,8,15.451,1
1008,2025-09-30,23:02:23,6,5889_throw,Leave,12,26.332,1
1008,2025-09-30,23:02:23,7,5908_creep up on,Avoid,11,20.795,1
1008,2025-09-30,23:02:23,8,5917_flirt with,Herd,27,41.278,1
1008,2025-09-30,23:02:23,9,5920_huddle with,Lead,6,6.626,1
1008,2025-09-30,23:02:23,10,5934_fight,Poke,10,12.451,1
1008,2025-09-30,23:02:23,11,5986_fight,Escape,13,6.325,1
1008,2025-09-30,23:02:23,12,6033_argue with,Avoid,11,28.525,1
1008,2025-09-30,23:02:23,13,6081_ignore,Escape,13,115.531,1
1008,2025-09-30,23:02:23,14,2025_bother,Leave,12,108.54,1
1008,2025-09-30,23:02:23,15,6150_push,Push,19,9.173,1
1008,2025-09-30,23:02:23,16,6183_avoid,Avoid,11,37.76,1
1008,2025-09-30,23:02:23,17,1032_creep up on,Leave,12,22.132,1
1008,2025-09-30,23:02:23,18,6217_examine,Talk to,20,7.363,1
1008,2025-09-30,23:02:23,19,6231_argue with,Lead,6,79.013,1
1008,2025-09-30,23:02:23,20,6298_chase,Herd,27,15.329,1
1008,2025-09-30,23:02:23,21,1414_accompany,Bother,21,4.371,1
1008,2025-09-30,23:02:23,22,2349_poke,Throw,22,6.699,1
1008,2025-09-30,23:02:23,23,5517_lead,Talk to,20,6.853,1
1008,2025-09-30,23:02:23,24,4690_hit,Accompany,2,4.907,1
1008,2025-09-30,23:02:23,25,6760_capture,Bother,21,53.014,1
1008,2025-09-30,23:02:23,26,844_leave,Leave,12,33.671,1
1008,2025-09-30,23:02:23,27,5819_poke,Escape,13,54.435,1
1008,2025-09-30,23:02:23,28,4795_argue with,Bother,21,36.272,1
1008,2025-09-30,23:02:23,29,4799_bother,Kiss,0,12.102,1
1008,2025-09-30,23:02:23,30,4800_approach,Escape,13,68.841,1
1008,2025-09-30,23:02:23,31,4801_escape,Talk to,20,38.742,1
1008,2025-09-30,23:02:23,32,5589_examine,Bother,21,24.322,1
1008,2025-09-30,23:02:23,33,4925_escape,Follow,14,35.098,1
1008,2025-09-30,23:02:23,34,4935_hug,Talk to,20,66.617,1
1008,2025-09-30,23:02:23,35,4974_play with,Lead,6,5.58,1
1008,2025-09-30,23:02:23,36,4976_accompany,Throw,22,2.821,1
1008,2025-09-30,23:02:23,37,5025_leave,Avoid,11,6.472,1
1008,2025-09-30,23:02:23,38,5044_poke,Throw,22,15.28,1
1008,2025-09-30,23:02:23,39,5082_flirt with,Hit,23,21.866,1
1008,2025-09-30,23:02:23,40,5088_kiss,Lead,6,56.293,1
1008,2025-09-30,23:02:23,41,5108_follow,Chase,30,20.649,1
1008,2025-09-30,23:02:23,42,5113_huddle with,Bother,21,7.104,1
1008,2025-09-30,23:02:23,43,5132_huddle with,Block,5,29.644,1
1008,2025-09-30,23:02:23,44,5139_kiss,Play with,15,16.254,1
1008,2025-09-30,23:02:23,45,5145_argue with,Hit,23,10.313,1
1008,2025-09-30,23:02:23,46,5148_talk to,Hug,7,8.906,1
1008,2025-09-30,23:02:23,47,5158_approach,Ignore,28,9.327,1
1008,2025-09-30,23:02:23,48,5162_bother,Hug,7,17.265,1
1008,2025-09-30,23:02:23,49,1061_tickle,Poke,10,21.923,1
1008,2025-09-30,23:02:23,50,5246_chase,Flirt with,3,7.383,1
1008,2025-09-30,23:02:23,51,5269_throw,Tickle,26,7.818,1
