	6017_encircle	5905_encircle	5991_examine	5788_examine	5787_accompany	6300_accompany	4408_lead	4926_lead	5809_pull	6239_pull	6034_avoid	4793_avoid	5816_ignore	5471_ignore	6079_bother	4789_bother	6004_herd	1051_herd	5878_follow	5866_follow	6035_capture	4788_capture	6005_throw	4861_throw	1145_leave	6058_leave	5875_escape	5790_escape	5987_creep up on	5876_creep up on	5849_approach	5096_approach	4397_hug	5528_hug	5843_huddle with	5901_huddle with	6012_kiss	1167_kiss	5948_flirt with	4806_flirt with	5870_poke	5570_poke	6016_scratch	1121_scratch	5914_tickle	1104_tickle	5902_hit	6172_hit	5986_fight	6026_fight	5814_talk to	6013_talk to	1012_push	5568_push
6034_avoid	0.8723404255319149	0.6666666666666667	0.7674418604651163	0.6349206349206349	0.6041666666666667	0.6296296296296297	0.5185185185185186	0.6363636363636364	0.4078947368421053	0.5616438356164384	0.0	0.5476190476190477	0.4042553191489362	0.4285714285714286	0.3529411764705882	0.7272727272727273	0.5	0.5932203389830508	0.47058823529411764	0.574468085106383	0.5490196078431373	0.5531914893617021	0.5833333333333333	0.5714285714285714	0.6590909090909092	0.5681818181818181	0.47457627118644063	0.8070175438596492	0.8260869565217391	0.5254237288135593	0.8591549295774648	0.5490196078431373	0.8666666666666667	0.8085106382978724	0.8392857142857143	0.75	0.7580645161290323	0.6607142857142857	0.7592592592592593	0.7241379310344828	0.8367346938775511	0.8734177215189873	0.7931034482758621	0.8181818181818181	0.8709677419354839	0.7719298245614035	0.8363636363636364	0.7222222222222222	0.8507462686567164	0.8113207547169812	0.8135593220338984	0.8732394366197183	0.6923076923076923	0.8461538461538461
4793_avoid	0.84375	0.72	0.7105263157894737	0.7619047619047619	0.53125	0.3191489361702128	0.48051948051948057	0.509090909090909	0.3466666666666667	0.5384615384615384	0.5476190476190477	0.0	0.46153846153846156	0.5555555555555556	0.5121951219512195	0.4651162790697675	0.5681818181818181	0.5263157894736843	0.6052631578947368	0.6666666666666667	0.6666666666666667	0.5882352941176471	0.5571428571428572	0.6206896551724138	0.6153846153846154	0.5416666666666667	0.5094339622641509	0.7619047619047619	0.9	0.6046511627906976	0.875	0.5	0.8333333333333334	0.94	0.7906976744186046	0.9264705882352942	0.7446808510638299	0.851063829787234	0.6981132075471699	0.8571428571428572	0.7592592592592593	0.8727272727272728	0.7678571428571428	0.7619047619047619	0.9122807017543859	0.8222222222222222	0.8518518518518519	0.6444444444444444	0.676923076923077	0.7380952380952381	0.7536231884057971	0.7636363636363637	0.703125	0.7647058823529411
5816_ignore	0.8703703703703703	0.8095238095238095	0.8507462686567164	0.75	0.603448275862069	0.78	0.6923076923076923	0.7090909090909091	0.34615384615384615	0.5217391304347826	0.4042553191489362	0.46153846153846156	0.0	0.3666666666666667	0.4418604651162791	0.6730769230769231	0.5111111111111111	0.5897435897435898	0.39622641509433965	0.5272727272727273	0.6818181818181819	0.5510204081632653	0.6545454545454545	0.6521739130434783	0.52	0.5172413793103448	0.5294117647058824	0.7666666666666666	0.7575757575757576	0.59375	0.7818181818181819	0.6458333333333333	0.7674418604651163	0.8571428571428572	0.8863636363636364	0.8727272727272728	0.8333333333333334	0.75	0.8636363636363636	0.7441860465116279	0.7761194029850746	0.7142857142857143	0.864406779661017	0.6607142857142857	0.9423076923076923	0.7959183673469388	0.8615384615384616	0.711864406779661	0.6744186046511628	0.7555555555555555	0.803921568627451	0.7142857142857143	0.6491228070175439	0.7291666666666667
5471_ignore	0.5476190476190477	0.5609756097560976	0.5769230769230769	0.6	0.728813559322034	0.7142857142857143	0.7580645161290323	0.7358490566037736	0.7297297297297297	0.7659574468085106	0.4285714285714286	0.5555555555555556	0.3666666666666667	0.0	0.5492957746478873	0.6938775510204082	0.5903614457831325	0.7377049180327868	0.7755102040816326	0.6129032258064516	0.7083333333333333	0.6603773584905661	0.5535714285714286	0.734375	0.52	0.609375	0.625	0.8571428571428572	0.6730769230769231	0.6964285714285714	0.8135593220338984	0.8301886792452831	0.7307692307692308	0.8545454545454545	0.8409090909090909	0.8518518518518519	0.7894736842105263	0.8125	0.7058823529411764	0.8305084745762712	0.8656716417910448	0.8275862068965517	0.7954545454545454	0.855072463768116	0.9259259259259259	0.8918918918918919	0.6388888888888888	0.7941176470588236	0.8064516129032258	0.6851851851851851	0.7076923076923076	0.8275862068965517	0.8148148148148149	0.8269230769230769
6079_bother	0.7	0.65	0.625	0.7321428571428572	0.6052631578947368	0.578125	0.475	0.6233766233766234	0.4651162790697675	0.6779661016949152	0.3529411764705882	0.5121951219512195	0.4418604651162791	0.5492957746478873	0.0	0.6756756756756757	0.6	0.6721311475409837	0.625	0.5128205128205128	0.6266666666666667	0.6071428571428572	0.5416666666666667	0.6212121212121212	0.7037037037037037	0.7115384615384616	0.625	0.8360655737704918	0.9482758620689655	0.5918367346938775	0.825	0.48051948051948057	0.7021276595744681	0.8405797101449275	0.736842105263158	0.8636363636363636	0.75	0.7076923076923076	0.8703703703703703	0.6785714285714286	0.7049180327868853	0.7619047619047619	0.875	0.8666666666666667	0.9259259259259259	0.7464788732394366	0.7636363636363637	0.8055555555555556	0.7586206896551724	0.6226415094339622	0.8507462686567164	0.5454545454545454	0.7222222222222222	0.7692307692307692
4789_bother	0.75	0.782608695652174	0.6727272727272727	0.6140350877192983	0.6451612903225806	0.6734693877551021	0.5333333333333333	0.6571428571428571	0.6363636363636364	0.75	0.7272727272727273	0.4651162790697675	0.6730769230769231	0.6938775510204082	0.6756756756756757	0.0	0.5344827586206897	0.39534883720930236	0.5087719298245614	0.6	0.3448275862068966	0.639344262295082	0.5833333333333333	0.7234042553191489	0.8269230769230769	0.64	0.5681818181818181	0.7954545454545454	0.6833333333333333	0.5964912280701755	0.7246376811594203	0.6415094339622642	0.8360655737704918	0.7105263157894737	0.8833333333333333	0.6956521739130435	0.7166666666666667	0.7272727272727273	0.6808510638297872	0.6086956521739131	0.6333333333333333	0.6363636363636364	0.6136363636363636	0.5555555555555556	0.6329113924050633	0.3653846153846154	0.75	0.55	0.7	0.6470588235294117	0.7727272727272727	0.6865671641791045	0.4029850746268657	0.5714285714285714
6004_herd	0.8421052631578947	0.6599999999999999	0.7346938775510203	0.7058823529411764	0.4285714285714286	0.5357142857142857	0.3880597014925373	0.6911764705882353	0.34545454545454546	0.5306122448979591	0.5	0.5681818181818181	0.5111111111111111	0.5903614457831325	0.6	0.5344827586206897	0.0	0.6111111111111112	0.4285714285714286	0.4285714285714286	0.43181818181818177	0.45945945945945943	0.4883720930232558	0.5471698113207547	0.775	0.5783132530120482	0.5285714285714286	0.5964912280701755	0.8222222222222222	0.5166666666666666	0.7792207792207793	0.3157894736842105	0.926829268292683	0.8333333333333334	0.8305084745762712	0.875	0.8166666666666667	0.7727272727272727	0.825	0.75	0.8333333333333334	0.7575757575757576	0.8360655737704918	0.6382978723404256	0.8870967741935484	0.8181818181818181	0.8552631578947368	0.5925925925925926	0.6	0.6507936507936508	0.8125	0.75	0.5535714285714286	0.65
1051_herd	0.782608695652174	0.8448275862068966	0.6712328767123288	0.8421052631578947	0.43939393939393945	0.4814814814814815	0.5135135135135135	0.5	0.6875	0.5692307692307692	0.5932203389830508	0.5263157894736843	0.5897435897435898	0.7377049180327868	0.6721311475409837	0.39534883720930236	0.6111111111111112	0.0	0.41538461538461535	0.5	0.6052631578947368	0.4727272727272728	0.65	0.6964285714285714	0.6923076923076923	0.5593220338983051	0.7352941176470589	0.7068965517241379	0.8035714285714286	0.5454545454545454	0.6923076923076923	0.47916666666666663	0.607843137254902	0.7540983606557377	0.75	0.8043478260869565	0.6730769230769231	0.7446808510638299	0.6705882352941177	0.6222222222222222	0.5873015873015873	0.8076923076923077	0.736842105263158	0.6904761904761905	0.8409090909090909	0.5606060606060606	0.819672131147541	0.6388888888888888	0.625	0.65	0.7924528301886793	0.8245614035087719	0.5172413793103448	0.3877551020408163
5878_follow	0.78	0.6808510638297872	0.8059701492537313	0.6896551724137931	0.55	0.5833333333333333	0.4385964912280702	0.4339622641509434	0.5540540540540541	0.5853658536585367	0.47058823529411764	0.6052631578947368	0.39622641509433965	0.7755102040816326	0.625	0.5087719298245614	0.4285714285714286	0.41538461538461535	0.0	0.43661971830985913	0.39622641509433965	0.4915254237288136	0.5319148936170213	0.7555555555555555	0.676056338028169	0.5294117647058824	0.5833333333333333	0.5581395348837209	0.8076923076923077	0.2692307692307693	0.7741935483870968	0.4821428571428571	0.8596491228070176	0.7794117647058824	0.6153846153846154	0.7894736842105263	0.7111111111111111	0.5641025641025641	0.8450704225352113	0.8412698412698413	0.7358490566037736	0.6666666666666667	0.7647058823529411	0.6140350877192983	0.75	0.7592592592592593	0.734375	0.6	0.6	0.7543859649122807	0.8627450980392157	0.631578947368421	0.4426229508196722	0.7105263157894737
5866_follow	0.8360655737704918	0.625	0.6727272727272727	0.7222222222222222	0.647887323943662	0.4918032786885246	0.653061224489796	0.49122807017543857	0.7291666666666667	0.5961538461538461	0.574468085106383	0.6666666666666667	0.5272727272727273	0.6129032258064516	0.5128205128205128	0.6	0.4285714285714286	0.5	0.43661971830985913	0.0	0.3928571428571429	0.4878048780487805	0.7164179104477613	0.6938775510204082	0.5555555555555556	0.7246376811594203	0.576271186440678	0.851063829787234	0.7543859649122807	0.29166666666666663	0.7391304347826086	0.27118644067796616	0.8125	0.7272727272727273	0.7142857142857143	0.8163265306122449	0.6363636363636364	0.7045454545454546	0.6666666666666667	0.7254901960784313	0.6842105263157895	0.8	0.7846153846153846	0.813953488372093	0.8709677419354839	0.9166666666666666	0.7380952380952381	0.782608695652174	0.8301886792452831	0.875	0.8666666666666667	0.6799999999999999	0.6181818181818182	0.5
